Title,Venue,Year,Authors,Category,ArXiv,Download_Link,Paper_Link
Subequivariant Graph Reinforcement Learning in 3D Environments,International Conference on Machine Learning,2023,"Runfa Chen, Jiaqi Han, Fuchun Sun, Wen-bing Huang","Computer Science, Computer Science",2305.18951,"=HYPERLINK(""https://arxiv.org/pdf/2305.18951.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2305.18951.pdf"", ""Papier PDF"")"
Improved Learning-Augmented Algorithms for the Multi-Option Ski Rental Problem via Best-Possible Competitive Analysis,International Conference on Machine Learning,2023,"Yongho Shin, Changyeol Lee, Gukryeol Lee, Hyung-Chan An","Computer Science, Computer Science",2302.06832,"=HYPERLINK(""https://arxiv.org/pdf/2302.06832.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2302.06832.pdf"", ""Papier PDF"")"
Fascinating Supervisory Signals and Where to Find Them: Deep Anomaly Detection with Scale Learning,International Conference on Machine Learning,2023,"Hongzuo Xu, Yijie Wang, Juhui Wei, Songlei Jian, Yizhou Li, Ninghui Liu","Computer Science, Computer Science",2305.16114,"=HYPERLINK(""https://arxiv.org/pdf/2305.16114.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2305.16114.pdf"", ""Papier PDF"")"
Towards Omni-generalizable Neural Methods for Vehicle Routing Problems,International Conference on Machine Learning,2023,"Jianan Zhou, Yaoxin Wu, Wen Song, Zhiguang Cao, J. Zhang","Computer Science, Engineering, Computer Science",2305.19587,"=HYPERLINK(""https://arxiv.org/pdf/2305.19587.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2305.19587.pdf"", ""Papier PDF"")"
Transformers as Algorithms: Generalization and Stability in In-context Learning,International Conference on Machine Learning,2023,"Yingcong Li, M. E. Ildiz, Dimitris Papailiopoulos, Samet Oymak","Computer Science, Computer Science, Mathematics",2301.07067,"=HYPERLINK(""https://arxiv.org/pdf/2301.07067.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2301.07067.pdf"", ""Papier PDF"")"
Incentivizing Exploration with Linear Contexts and Combinatorial Actions,International Conference on Machine Learning,2023,Mark Sellke,"Computer Science, Mathematics, Computer Science",2306.01990,"=HYPERLINK(""https://arxiv.org/pdf/2306.01990.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2306.01990.pdf"", ""Papier PDF"")"
Generalized-Smooth Nonconvex Optimization is As Efficient As Smooth Nonconvex Optimization,International Conference on Machine Learning,2023,"Ziyi Chen, Yi Zhou, Yingbin Liang, Zhaosong Lu","Computer Science, Mathematics, Computer Science, Mathematics",2303.02854,"=HYPERLINK(""https://arxiv.org/pdf/2303.02854.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2303.02854.pdf"", ""Papier PDF"")"
Randomized Schur Complement Views for Graph Contrastive Learning,International Conference on Machine Learning,2023,Vignesh Kothapalli,"Computer Science, Mathematics, Computer Science",2306.04004,"=HYPERLINK(""https://arxiv.org/pdf/2306.04004.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2306.04004.pdf"", ""Papier PDF"")"
What Makes Entities Similar? A Similarity Flooding Perspective for Multi-sourced Knowledge Graph Embeddings,International Conference on Machine Learning,2023,"Zequn Sun, Jiacheng Huang, Xiaozhou Xu, Qijin Chen, Weijun Ren, Wei Hu","Computer Science, Computer Science",2306.02622,"=HYPERLINK(""https://arxiv.org/pdf/2306.02622.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2306.02622.pdf"", ""Papier PDF"")"
GAT: Guided Adversarial Training with Pareto-optimal Auxiliary Tasks,International Conference on Machine Learning,2023,"Salah Ghamizi, Jingfeng Zhang, Maxime Cordy, Mike Papadakis, Masashi Sugiyama, Yves Le Traon","Computer Science, Mathematics, Computer Science",2302.02907,"=HYPERLINK(""https://arxiv.org/pdf/2302.02907.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2302.02907.pdf"", ""Papier PDF"")"
Domain Adaptation for Time Series Under Feature and Label Shifts,International Conference on Machine Learning,2023,"Huan He, Owen Queen, Teddy Koker, Consuelo Cuevas, Theodoros Tsiligkaridis, M. Zitnik","Computer Science, Computer Science",2302.03133,"=HYPERLINK(""https://arxiv.org/pdf/2302.03133.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2302.03133.pdf"", ""Papier PDF"")"
On Provable Copyright Protection for Generative Models,International Conference on Machine Learning,2023,"Nikhil Vyas, S. Kakade, B. Barak","Computer Science, Law, Computer Science, Mathematics",2302.10870,"=HYPERLINK(""https://arxiv.org/pdf/2302.10870.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2302.10870.pdf"", ""Papier PDF"")"
Demystifying Disagreement-on-the-Line in High Dimensions,International Conference on Machine Learning,2023,"Dong-Hwan Lee, Behrad Moniri, Xinmeng Huang, Edgar Dobriban, Hamed Hassani","Computer Science, Mathematics, Mathematics, Computer Science",2301.13371,"=HYPERLINK(""https://arxiv.org/pdf/2301.13371.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2301.13371.pdf"", ""Papier PDF"")"
Variance Control for Distributional Reinforcement Learning,International Conference on Machine Learning,2023,"Qi Kuang, Zhoufan Zhu, Liwen Zhang, Fan Zhou","Computer Science, Mathematics, Computer Science",2307.16152,"=HYPERLINK(""https://arxiv.org/pdf/2307.16152.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2307.16152.pdf"", ""Papier PDF"")"
Contrastive Energy Prediction for Exact Energy-Guided Diffusion Sampling in Offline Reinforcement Learning,International Conference on Machine Learning,2023,"Cheng Lu, Huayu Chen, Jianfei Chen, Hang Su, Chongxuan Li, Jun Zhu","Computer Science, Computer Science",2304.12824,"=HYPERLINK(""https://arxiv.org/pdf/2304.12824.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2304.12824.pdf"", ""Papier PDF"")"
Model-Free Robust Average-Reward Reinforcement Learning,International Conference on Machine Learning,2023,"Yue Wang, Alvaro Velasquez, George K. Atia, Ashley Prater-Bennette, Shaofeng Zou","Computer Science, Computer Science",2305.10504,"=HYPERLINK(""https://arxiv.org/pdf/2305.10504.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2305.10504.pdf"", ""Papier PDF"")"
Multi-task Hierarchical Adversarial Inverse Reinforcement Learning,International Conference on Machine Learning,2023,"Jiayu Chen, Dipesh Tamboli, Tian Lan, V. Aggarwal","Computer Science, Engineering, Computer Science",2305.12633,"=HYPERLINK(""https://arxiv.org/pdf/2305.12633.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2305.12633.pdf"", ""Papier PDF"")"
Efficient Approximations of Complete Interatomic Potentials for Crystal Property Prediction,International Conference on Machine Learning,2023,"Yu-Ching Lin, Keqiang Yan, Youzhi Luo, Yi Liu, Xiaoning Qian, Shuiwang Ji","Materials Science, Computer Science, Physics, Computer Science, Physics",2306.10045,"=HYPERLINK(""https://arxiv.org/pdf/2306.10045.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2306.10045.pdf"", ""Papier PDF"")"
SparseProp: Efficient Sparse Backpropagation for Faster Training of Neural Networks,International Conference on Machine Learning,2023,"Mahdi Nikdan, Tommaso Pegolotti, Eugenia Iofinova, Eldar Kurtic, Dan Alistarh","Computer Science, Mathematics, Computer Science",2302.04852,"=HYPERLINK(""https://arxiv.org/pdf/2302.04852.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2302.04852.pdf"", ""Papier PDF"")"
Self-Attention Amortized Distributional Projection Optimization for Sliced Wasserstein Point-Cloud Reconstruction,International Conference on Machine Learning,2023,"Khai Nguyen, Dang Nguyen, N. Ho","Computer Science, Mathematics, Computer Science",2301.04791,"=HYPERLINK(""https://arxiv.org/pdf/2301.04791.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2301.04791.pdf"", ""Papier PDF"")"
Node Embedding from Neural Hamiltonian Orbits in Graph Neural Networks,International Conference on Machine Learning,2023,"Qiyu Kang, Kai Zhao, Yang Song, Sijie Wang, Wee Peng Tay","Computer Science, Mathematics, Computer Science, Mathematics, Physics",2305.18965,"=HYPERLINK(""https://arxiv.org/pdf/2305.18965.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2305.18965.pdf"", ""Papier PDF"")"
Delayed Bandits: When Do Intermediate Observations Help?,International Conference on Machine Learning,2023,"Emmanuel Esposito, Saeed Masoudian, Hao Qiu, Dirk van der Hoeven, Nicolò Cesa-Bianchi, Yevgeny Seldin","Computer Science, Mathematics, Computer Science",2305.19036,"=HYPERLINK(""https://arxiv.org/pdf/2305.19036.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2305.19036.pdf"", ""Papier PDF"")"
Decentralized SGD and Average-direction SAM are Asymptotically Equivalent,International Conference on Machine Learning,2023,"Tongtian Zhu, Fengxiang He, Kaixuan Chen, Mingli Song, Dacheng Tao","Computer Science, Mathematics, Computer Science, Engineering, Mathematics",2306.02913,"=HYPERLINK(""https://arxiv.org/pdf/2306.02913.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2306.02913.pdf"", ""Papier PDF"")"
Rethink DARTS Search Space and Renovate a New Benchmark,International Conference on Machine Learning,2023,"Jiuling Zhang, Zhiming Ding","Computer Science, Computer Science",2306.06852,"=HYPERLINK(""https://arxiv.org/pdf/2306.06852.pdf"", ""Télécharger"")","=HYPERLINK(""papers\2306.06852.pdf"", ""Papier PDF"")"
